code,description,manufacturer,car_type,category,common_cause,fix_tip
P0458,EVAP System Purge Control Valve A Circuit Low,P,,,,
P0459,EVAP System Purge Control Valve A Circuit High,P,,,,
P045A,EGR B Control Circuit,P,,,,
P045B,EGR B Control Circuit Range/Performance,P,,,,
P045C,EGR B Control Circuit Low,P,,,,
P045D,EGR B Control Circuit High,P,,,,
P045E,EGR B Control Stuck Open,P,,,,
P045F,EGR B Control Stuck Closed,P,,,,
P0460,Fuel Level Sensor A Circuit,P,,,,
P0461,Fuel Level Sensor A Circuit Range/Performance,P,,,,
P0462,Fuel Level Sensor A Circuit Low,P,,,,
P0463,Fuel Level Sensor A Circuit High,P,,,,
P0464,Fuel Level Sensor A Circuit Intermittent,P,,,,
P0465,EVAP Purge Flow Sensor Circuit,P,,,,
P0466,EVAP Purge Flow Sensor Circuit Range/Performance,P,,,,
P0467,EVAP Purge Flow Sensor Circuit Low,P,,,,
P0468,EVAP Purge Flow Sensor Circuit High,P,,,,
P0469,EVAP Purge Flow Sensor Circuit Intermittent,P,,,,
P046A,Catalyst Temperature Sensor 1/2 Correlation Bank 1,P,,,,
P046B,Catalyst Temperature Sensor 1/2 Correlation Bank 2,P,,,,
P046C,EGR Sensor A Circuit Range/Performance,P,,,,
P046D,EGR Sensor A Circuit Intermittent/Erratic,P,,,,
P046E,EGR Sensor B Circuit Range/Performance,P,,,,
P046F,EGR Sensor B Circuit Intermittent/Erratic,P,,,,
P0470,Exhaust Pressure Sensor A Circuit,P,,,,
P0471,Exhaust Pressure Sensor A Circuit Range/Performance,P,,,,
P0472,Exhaust Pressure Sensor A Circuit Low,P,,,,
P0473,Exhaust Pressure Sensor A Circuit High,P,,,,
P0474,Exhaust Pressure Sensor A Circuit Intermittent/Erratic,P,,,,
P0475,Exhaust Pressure Control Valve A,P,,,,
P0476,Exhaust Pressure Control Valve A Range/Performance,P,,,,
P0477,Exhaust Pressure Control Valve A Low,P,,,,
P0478,Exhaust Pressure Control Valve A High,P,,,,
P0479,Exhaust Pressure Control Valve A Intermittent,P,,,,
P047A,Exhaust Pressure Sensor B Circuit,P,,,,
P047B,Exhaust Pressure Sensor B Circuit Range/Performance,P,,,,
P047C,Exhaust Pressure Sensor B Circuit Low,P,,,,
P047D,Exhaust Pressure Sensor B Circuit High,P,,,,
P047E,Exhaust Pressure Sensor B Circuit Intermittent/Erratic,P,,,,
P047F,Exhaust Pressure Control Valve A Stuck Open,P,,,,
P0480,Fan 1 Control Circuit,P,,,,
P0481,Fan 2 Control Circuit,P,,,,
P0482,Fan 3 Control Circuit,P,,,,
P0483,Fan Rationality Check,P,,,,
P0484,Fan Circuit Current High,P,,,,
P0485,Fan Power/Ground Circuit,P,,,,
P0486,EGR Sensor B Circuit,P,,,,
P0487,EGR Throttle Control Circuit A /Open,P,,,,
P0488,EGR Throttle Control Circuit A Range/Performance,P,,,,
P0489,EGR A Control Circuit Low,P,,,,
P048A,Exhaust Pressure Control Valve A Stuck Closed,P,,,,
P048B,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit,P,,,,
P048C,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit Range/Performance,P,,,,
P048D,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit Low,P,,,,
P048E,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit High,P,,,,
P048F,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit Intermittent/Erratic,P,,,,
P0490,EGR A Control Circuit High,P,,,,
P0491,AIR System Insufficient Flow Bank 1,P,,,,
P0492,AIR System Insufficient Flow Bank 2,P,,,,
P0493,Fan Overspeed,P,,,,
P0494,Fan 1 Underspeed,P,,,,
P0495,Fan 1 Overspeed,P,,,,
P0496,EVAP System High Purge Flow,P,,,,
P0497,EVAP System Low Purge Flow,P,,,,
P0498,EVAP System Vent Valve Control Circuit Low,P,,,,
P0499,EVAP System Vent Valve Control Circuit High,P,,,,
P049A,EGR B Flow,P,,,,
P049B,EGR B Flow Insufficient Detected,P,,,,
P049C,EGR B Flow Excessive Detected,P,,,,
P049D,EGR A Control Position Exceeded Learning Limit,P,,,,
P049E,EGR B Control Position Exceeded Learning Limit,P,,,,
P049F,Exhaust Pressure Control Valve B,P,,,,
P04A0,Exhaust Pressure Control Valve B Range/Performance,P,,,,
P04A1,Exhaust Pressure Control Valve B Low,P,,,,
P04A2,Exhaust Pressure Control Valve B High,P,,,,
P04A3,Exhaust Pressure Control Valve B Intermittent,P,,,,
P04A4,Exhaust Pressure Control Valve B Stuck Open,P,,,,
P04A5,Exhaust Pressure Control Valve B Stuck Closed,P,,,,
P04A6,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit,P,,,,
P04A7,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit Range/Performance,P,,,,
P04A8,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit Low,P,,,,
P04A9,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit High,P,,,,
P04AA,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit Intermittent/Erratic,P,,,,
P04AB,EVAP System Purge Control Valve B Circuit/Open,P,,,,
P04AC,EVAP System Purge Control Valve B Circuit Low,P,,,,
P04AD,EVAP System Purge Control Valve B Circuit High,P,,,,
P04AE,EVAP System Purge Control Valve B Performance/Stuck Open,P,,,,
P04AF,EVAP System Purge Control Valve B Stuck Closed,P,,,,
P04B0,Refueling Vapor Control Valve Circuit/Open,P,,,,
P04B1,Refueling Vapor Control Valve Circuit Low,P,,,,
P04B2,Refueling Vapor Control Valve Circuit High,P,,,,
P04B3,Refueling Vapor Control Valve Stuck Performance/Stuck Open,P,,,,
P04B4,Refueling Vapor Control Valve Stuck Closed,P,,,,
P04B5,Fuel Fill Door Stuck Open,P,,,,
P04B6,Fuel Fill Door Stuck Closed,P,,,,
P04B7,Fuel Fill Door Position Sensor/Switch Circuit Intermittent/Erratic,P,,,,
P04B8,Fuel Fill Door Position Sensor/Switch Circuit,P,,,,
P04B9,Fuel Fill Door Position Sensor/Switch Circuit Low,P,,,,
P04BA,Fuel Fill Door Position Sensor/Switch Circuit High,P,,,,
P04BB,Fuel Fill Door Lock Control Circuit/Open,P,,,,
P04BC,Fuel Fill Door Lock Control Range/Performance,P,,,,
P04BD,Fuel Fill Door Lock Control Circuit Low,P,,,,
P04BE,Fuel Fill Door Lock Control Circuit High,P,,,,
P04BF,Fuel Fill Door Unlock Control Circuit/Open,P,,,,
P04C0,Fuel Fill Door Unlock Control Range/Performance,P,,,,
P04C1,Fuel Fill Door Unlock Control Circuit Low,P,,,,
P04C2,Fuel Fill Door Unlock Control Circuit High,P,,,,
P04C3,Fuel Fill Door Lock Position Sensor/Switch Circuit,P,,,,
P04C4,Fuel Fill Door Lock Position Sensor/Switch Circuit Range/Performance,P,,,,
P04C5,Fuel Fill Door Lock Position Sensor/Switch Circuit Low,P,,,,
P04C6,Fuel Fill Door Lock Position Sensor/Switch Circuit High,P,,,,
P04C7,Fuel Fill Door Lock Position Sensor/Switch Circuit Intermittent/Erratic,P,,,,
P04C8,Fuel Fill Door Open Request Sensor/Switch Circuit,P,,,,
P04C9,Fuel Fill Door Open Request Sensor/Switch Performance/Stuck Off,P,,,,
P04CA,Fuel Fill Door Open Request Sensor/Switch Circuit Low,P,,,,
P04CB,Fuel Fill Door Open Request Sensor/Switch Circuit High,P,,,,
P04CC,Fuel Fill Door Open Request Sensor/Switch Circuit Intermittent/Erratic,P,,,,
P04CD,Fuel Fill Door Open Request Sensor/Switch Stuck On,P,,,,
P04CE,EGR Temperature Sensor C Circuit,P,,,,
P04CF,EGR Temperature Sensor C Circuit Range/Performance,P,,,,
P04D0,EGR Temperature Sensor C Circuit Low,P,,,,
P04D1,EGR Temperature Sensor C Circuit High,P,,,,
P04D2,EGR Temperature Sensor C Circuit Intermittent/Erratic,P,,,,
P04D3,Exhaust Brake Input Circuit,P,,,,
P04D4,Exhaust Brake Input Circuit Range/Performance,P,,,,
P04D5,Exhaust Brake Input Circuit Low,P,,,,
P04D6,Exhaust Brake Input Circuit High,P,,,,
P04D7,Exhaust Brake Input Circuit Intermittent/Erratic,P,,,,
P04D8,Excessive Time To Enter Closed Loop EGR Control,P,,,,
P04D9,Closed Loop EGR Control At Limit - Flow Too Low,P,,,,
P04DA,Closed Loop EGR Control At Limit - Flow Too High,P,,,,
P04DB,Crankcase Ventilation System Disconnected,P,,,,
P04DC,Fuel Fill Door Position Sensor/Switch Circuit Range/Performance,P,,,,
P04DD,Cold Start EGR A Flow Insufficient Detected,P,,,,
P04DE,Cold Start EGR A Flow Excessive Detected,P,,,,
P04DF,EVAP System Purge Control Valve A Performance/Stuck Open,P,,,,
P04E0,EVAP System Purge Control Valve A Stuck Closed,P,,,,
P04E1,Crankcase Ventilation Hose Connection Sensor Circuit,P,,,,
P04E2,Crankcase Ventilation Hose Connection Sensor Circuit Low,P,,,,
P04E3,Crankcase Ventilation Hose Connection Sensor Circuit High,P,,,,
P04E4,Crankcase Ventilation Hose Connection Sensor Circuit Intermittent/Erratic,P,,,,
P04E5,EGR Temperature Sensor D Circuit,P,,,,
P04E6,EGR Temperature Sensor D Circuit Range/Performance,P,,,,
P04E7,EGR Temperature Sensor D Circuit Low,P,,,,
P04E8,EGR Temperature Sensor D Circuit High,P,,,,
P04E9,EGR Temperature Sensor D Circuit Intermittent/Erratic,P,,,,
P04EA,EVAP System Small Leak Detected - Fuel Tank Side,P,,,,
P04EB,EVAP System Small Leak Detected - Fresh Air Side,P,,,,
P04EC,EVAP System Large Leak Detected - Fuel Tank Side,P,,,,
P04ED,EVAP System Large Leak Detected - Fresh Air Side,P,,,,
P04EE,EVAP System Very Small Leak Detected - Fuel Tank Side,P,,,,
P04EF,EVAP System Very Small Leak Detected - Fresh Air Side,P,,,,
P04F0,EVAP System High Load Purge Line A Performance,P,,,,
P04F1,EVAP System Purge Line Performance,P,,,,
P04F2,Catalyst Heater Supply Voltage Bank 1,P,,,,
P04F3,Catalyst Heater Supply Voltage Bank 2,P,,,,
P04F4,Catalyst Heater Circuit Low Bank 1,P,,,,
P04F5,Catalyst Heater Circuit Low Bank 2,P,,,,
P04F6,Catalyst Heater Circuit High Bank 1,P,,,,
P04F7,Catalyst Heater Circuit High Bank 2,P,,,,
P04F8,Catalyst Heater Circuit Intermittent Bank 1,P,,,,
P04F9,Catalyst Heater Circuit Intermittent Bank 2,P,,,,
P04FA,EGR A Control Temperature Too High,P,,,,
P04FB,Crankcase Ventilation Hose Connection Sensor Range/Performance,P,,,,
P04FC,Crankcase Ventilation System Performance,P,,,,
P04FD,EGR Actuator A Control Processor Performance,P,,,,
P04FE,Catalyst Heater Circuit Performance Bank 1,P,,,,
P04FF,Catalyst Heater Circuit Performance Bank 2,P,,,,
P0500,Vehicle Speed Sensor A Circuit,P,,,,
P0501,Vehicle Speed Sensor A Circuit Range/Performance,P,,,,
P0502,Vehicle Speed Sensor A Circuit Low,P,,,,
P0503,Vehicle Speed Sensor A Circuit Intermittent/Erratic/High,P,,,,
P0504,Brake Switch A/B Correlation,P,,,,
P0505,Idle Control System,P,,,,
P0506,Idle Control System RPM - Lower Than Expected,P,,,,
P0507,Idle Control System RPM - Higher Than Expected,P,,,,
P0508,Idle Air Control System Circuit Low,P,,,,
P0509,Idle Air Control System Circuit High,P,,,,
P050A,Cold Start Idle Control System Performance,P,,,,
P050B,Cold Start Ignition Timing Performance,P,,,,
P050C,Cold Start Engine Coolant Temperature Performance,P,,,,
P050D,Cold Start Rough Idle,P,,,,
P050E,Cold Start Engine Exhaust Temperature Too Low,P,,,,
P050F,Brake Assist Vacuum Too Low,P,,,,
P0510,Closed Throttle Position Switch,P,,,,
P0511,Idle Air Control Circuit,P,,,,
P0512,Starter Request Circuit,P,,,,
P0513,Incorrect Immobilizer Key,P,,,,
P0514,Battery Temperature Sensor Circuit Range/Performance,P,,,,
P0515,Battery Temperature Sensor Circuit,P,,,,
P0516,Battery Temperature Sensor Circuit Low,P,,,,
P0517,Battery Temperature Sensor Circuit High,P,,,,
P0518,Idle Air Control Circuit Intermittent,P,,,,
P0519,Idle Air Control System Performance,P,,,,
P051A,Crankcase Pressure Sensor A Circuit,P,,,,
P051B,Crankcase Pressure Sensor A Circuit Range/Performance,P,,,,
P051C,Crankcase Pressure Sensor A Circuit Low,P,,,,
P051D,Crankcase Pressure Sensor A Circuit High,P,,,,
P051E,Crankcase Pressure Sensor A Circuit Intermittent/Erratic,P,,,,
P051F,PCV Filter Restriction,P,,,,
P0520,Engine Oil Pressure Sensor/Switch A Circuit,P,,,,
P0521,Engine Oil Pressure Sensor/Switch A Range/Performance,P,,,,
P0522,Engine Oil Pressure Sensor/Switch A Low,P,,,,
P0523,Engine Oil Pressure Sensor/Switch A High,P,,,,
P0524,Engine Oil Pressure Too Low,P,,,,
P0525,Cruise Control Servo Control Circuit Range/Performance,P,,,,
P0526,Fan Speed Sensor Circuit,P,,,,
P0527,Fan Speed Sensor Circuit Range/Performance,P,,,,
P0528,Fan Speed Sensor Circuit No Signal,P,,,,
P0529,Fan Speed Sensor Circuit Intermittent,P,,,,
P052A,Cold Start A Camshaft Position Timing Over-Advanced Bank 1,P,,,,
P052B,Cold Start A Camshaft Position Timing Over-Retarded Bank 1,P,,,,
P052C,Cold Start A Camshaft Position Timing Over-Advanced Bank 2,P,,,,
P052D,Cold Start A Camshaft Position Timing Over-Retarded Bank 2,P,,,,
P052E,PCV Regulator Valve Performance,P,,,,
P052F,Glow Plug Control Module 1 System Voltage,P,,,,
P0530,A/C Refrigerant Pressure Sensor A Circuit,P,,,,
P0531,A/C Refrigerant Pressure Sensor A Circuit Range/Performance,P,,,,
P0532,A/C Refrigerant Pressure Sensor A Circuit Low,P,,,,
P0533,A/C Refrigerant Pressure Sensor A Circuit High,P,,,,
P0534,A/C Refrigerant Charge Loss,P,,,,
P0535,A/C Evaporator Temperature Sensor Circuit,P,,,,
P0536,A/C Evaporator Temperature Sensor Circuit Range/Performance,P,,,,
P0537,A/C Evaporator Temperature Sensor Circuit Low,P,,,,
P0538,A/C Evaporator Temperature Sensor Circuit High,P,,,,
P0539,A/C Evaporator Temperature Sensor Circuit Intermittent,P,,,,
P053A,PCV Heater A Control Circuit /Open,P,,,,
P053B,PCV Heater A Control Circuit Low,P,,,,
P053C,PCV Heater A Control Circuit High,P,,,,
P053D,PCV Heater A Performance,P,,,,
P053E,Crankcase Pressure Too High,P,,,,
P053F,Cold Start Fuel Pressure Performance Bank 1,P,,,,
P0540,Intake Air Heater A Circuit,P,,,,
P0541,Intake Air Heater A Circuit Low,P,,,,
P0542,Intake Air Heater A Circuit High,P,,,,
P0543,Intake Air Heater A Circuit Open,P,,,,
P0544,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 1,P,,,,
P0545,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 1,P,,,,
P0546,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 1,P,,,,
P0547,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 1,P,,,,
P0548,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 1,P,,,,
P0549,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 1,P,,,,
P054A,Cold Start B Camshaft Position Timing Over-Advanced Bank 1,P,,,,
P054B,Cold Start B Camshaft Position Timing Over-Retarded Bank 1,P,,,,
P054C,Cold Start B Camshaft Position Timing Over-Advanced Bank 2,P,,,,
P054D,Cold Start B Camshaft Position Timing Over-Retarded Bank 2,P,,,,
P054E,Idle Control System - Fuel Quantity Lower Than Expected,P,,,,
P054F,Idle Control System - Fuel Quantity Higher Than Expected,P,,,,
P0550,Power Steering Pressure Sensor/Switch Circuit,P,,,,
P0551,Power Steering Pressure Sensor/Switch Circuit Range/Performance,P,,,,
P0552,Power Steering Pressure Sensor/Switch Circuit Low,P,,,,
P0553,Power Steering Pressure Sensor/Switch Circuit High,P,,,,
P0554,Power Steering Pressure Sensor/Switch Circuit Intermittent,P,,,,
P0555,Brake Booster Pressure Sensor Circuit,P,,,,
P0556,Brake Booster Pressure Sensor Circuit Range/Performance,P,,,,
P0557,Brake Booster Pressure Sensor Circuit Low,P,,,,
P0558,Brake Booster Pressure Sensor Circuit High,P,,,,
P0559,Brake Booster Pressure Sensor Circuit Intermittent,P,,,,
P055A,Engine Oil Pressure Sensor/Switch B Circuit,P,,,,
P055B,Engine Oil Pressure Sensor/Switch B Range/Performance,P,,,,
P055C,Engine Oil Pressure Sensor/Switch B Low,P,,,,
P055D,Engine Oil Pressure Sensor/Switch B High,P,,,,
P055E,Oxygen Sensor Control Module System Voltage,P,,,,
P055F,Engine Oil Pressure Out of Range,P,,,,
P0560,System Voltage,P,,,,
P0561,System Voltage Unstable,P,,,,
P0562,System Voltage Low,P,,,,
P0563,System Voltage High,P,,,,
P0564,Cruise Control Multi-Function Input A Circuit,P,,,,
P0565,Cruise Control On Signal,P,,,,
P0566,Cruise Control Off Signal,P,,,,
P0567,Cruise Control Resume Signal,P,,,,
P0568,Cruise Control Set Signal,P,,,,
P0569,Cruise Control Coast Signal,P,,,,
P056A,Cruise Control Increase Distance Signal,P,,,,
P056B,Cruise Control Decrease Distance Signal,P,,,,
P056C,Cruise Control Cancel Signal,P,,,,
P056D,Reductant Control Module System Voltage,P,,,,
P056E,Cold Start Turbocharger/Supercharger Boost Control A Performance,P,,,,
P056F,Cold Start Turbocharger/Supercharger Boost Control B Performance,P,,,,
P0570,Cruise Control Accelerate Signal,P,,,,
P0571,Brake Switch A Circuit,P,,,,
P0572,Brake Switch A Circuit Low,P,,,,
P0573,Brake Switch A Circuit High,P,,,,
P0574,Cruise Control System - Vehicle Speed Too High,P,,,,
P0575,Cruise Control Input Circuit,P,,,,
P0576,Cruise Control Input Circuit Low,P,,,,
P0577,Cruise Control Input Circuit High,P,,,,
P0578,Cruise Control Multi-Function Input A Circuit Stuck,P,,,,
P0579,Cruise Control Multi-Function Input A Circuit Range/Performance,P,,,,
P057A,Brake Pedal Position Sensor A Circuit/Open,P,,,,
P057B,Brake Pedal Position Sensor A Circuit Range/Performance,P,,,,
P057C,Brake Pedal Position Sensor A Circuit Low,P,,,,
P057D,Brake Pedal Position Sensor A Circuit High,P,,,,
P057E,Brake Pedal Position Sensor A Circuit Intermittent/Erratic,P,,,,
P057F,Battery A State of Charge Performance,P,,,,
P0580,Cruise Control Multi-Function Input A Circuit Low,P,,,,
P0581,Cruise Control Multi-Function Input A Circuit High,P,,,,
P0582,Cruise Control Vacuum Control Circuit/Open,P,,,,
P0583,Cruise Control Vacuum Control Circuit Low,P,,,,
P0584,Cruise Control Vacuum Control Circuit High,P,,,,
P0585,Cruise Control Multi-Function Input A/B Correlation,P,,,,
P0586,Cruise Control Vent Control Circuit/Open,P,,,,
P0587,Cruise Control Vent Control Circuit Low,P,,,,
P0588,Cruise Control Vent Control Circuit High,P,,,,
P0589,Cruise Control Multi-Function Input B Circuit,P,,,,
P058A,Battery Monitor Module Performance,P,,,,
P058B,Battery Monitor Module Current Monitoring Performance,P,,,,
P058C,Battery Monitor Module Temperature Monitoring Performance,P,,,,
P058D,Battery Monitor Module Voltage Monitoring Performance,P,,,,
P058E,Battery Monitor Module Temperature Too High,P,,,,
P058F,Battery Monitor Module Temperature Too Low,P,,,,
P0590,Cruise Control Multi-Function Input B Circuit Stuck,P,,,,
P0591,Cruise Control Multi-Function Input B Circuit Range/Performance,P,,,,
P0592,Cruise Control Multi-Function Input B Circuit Low,P,,,,
P0593,Cruise Control Multi-Function Input B Circuit High,P,,,,
P0594,Cruise Control Servo Control Circuit/Open,P,,,,
P0595,Cruise Control Servo Control Circuit Low,P,,,,
P0596,Cruise Control Servo Control Circuit High,P,,,,
P0597,Thermostat Heater Control Circuit/Open,P,,,,
P0598,Thermostat Heater Control Circuit Low,P,,,,
P0599,Thermostat Heater Control Circuit High,P,,,,
P059A,Active Grille Air Shutter A Position Sensor Circuit,P,,,,
P059B,Active Grille Air Shutter A Position Sensor Circuit Range/Performance,P,,,,
P059C,Active Grille Air Shutter A Position Sensor Circuit High,P,,,,
P059D,Active Grille Air Shutter A Position Sensor Circuit Low,P,,,,
P059E,Active Grille Air Shutter A Position Sensor Circuit Intermittent,P,,,,
P059F,Active Grille Air Shutter A Performance/Stuck Off,P,,,,
P05A0,Active Grille Air Shutter A Stuck On,P,,,,
P05A1,Active Grille Air Shutter A Position Sensor Minimum/Maximum Stop Performance,P,,,,
P05A2,Active Grille Air Shutter A Control Circuit/Open,P,,,,
P05A3,Active Grille Air Shutter A Control Circuit Range/Performance,P,,,,
P05A4,Active Grille Air Shutter A Control Circuit High,P,,,,
P05A5,Active Grille Air Shutter A Control Circuit Low,P,,,,
P05A6,Active Grille Air Shutter A Supply Voltage Circuit/Open,P,,,,
P05A7,Active Grille Air Shutter A Supply Voltage Circuit Low,P,,,,
P05A8,Active Grille Air Shutter A Supply Voltage Circuit High,P,,,,
P05A9,Active Grille Air Shutter B Position Sensor Circuit,P,,,,
P05AA,Active Grille Air Shutter B Position Sensor Circuit Range/Performance,P,,,,
P05AB,Active Grille Air Shutter B Position Sensor Circuit High,P,,,,
P05AC,Active Grille Air Shutter B Position Sensor Circuit Low,P,,,,
P05AD,Active Grille Air Shutter B Position Sensor Circuit Intermittent,P,,,,
P05AE,Active Grille Air Shutter B Performance/Stuck Off,P,,,,
P05AF,Active Grille Air Shutter B Stuck On,P,,,,
P05B0,Active Grille Air Shutter B Position Sensor Minimum/Maximum Stop Performance,P,,,,
P05B1,Active Grille Air Shutter B Control Circuit/Open,P,,,,
P05B2,Active Grille Air Shutter B Control Circuit Range/Performance,P,,,,
P05B3,Active Grille Air Shutter B Control Circuit High,P,,,,
P05B4,Active Grille Air Shutter B Control Circuit Low,P,,,,
P05B5,Active Grille Air Shutter B Supply Voltage Circuit/Open,P,,,,
P05B6,Active Grille Air Shutter B Supply Voltage Circuit Low,P,,,,
P05B7,Active Grille Air Shutter B Supply Voltage Circuit High,P,,,,
P05B8,Restraint Deployment Signal Circuit/Open,P,,,,
P05B9,Restraint Deployment Signal Circuit Low,P,,,,
P05BA,Restraint Deployment Signal Circuit High,P,,,,
P05BB,Restraints Deployed,P,,,,
P05BC,Stop-Start Mode Switch Circuit/Open,P,,,,
P05BD,Stop-Start Mode Switch Circuit Range/Performance,P,,,,
P05BE,Stop-Start Mode Switch Circuit Low,P,,,,
P05BF,Stop-Start Mode Switch Circuit High,P,,,,
P05C0,Active Grille Air Shutter Module A Over Temperature,P,,,,
P05C1,Active Grille Air Shutter Module B Over Temperature,P,,,,
P05C2,Engine Coolant Pressure Sensor Circuit,P,,,,
P05C3,Engine Coolant Pressure Sensor Circuit Range/Performance,P,,,,
P05C4,Engine Coolant Pressure Sensor Circuit Low,P,,,,
P05C5,Engine Coolant Pressure Sensor Circuit High,P,,,,
P05C6,Engine Coolant Pressure Sensor Circuit Intermittent/Erratic,P,,,,
P05C7,Economy Mode Switch Circuit/Open,P,,,,
P05C8,Economy Mode Switch Circuit Range/Performance,P,,,,
P05C9,Economy Mode Switch Circuit Low,P,,,,
P05CA,Economy Mode Switch Circuit High,P,,,,
P05CB,Vehicle Hardware Incompatibility,P,,,,
P05CC,Cold Start A Camshaft Position Timing Performance Bank 1,P,,,,
P05CD,Cold Start A Camshaft Position Timing Performance Bank 2,P,,,,
P05CE,Cold Start B Camshaft Position Timing Performance Bank 1,P,,,,
P05CF,Cold Start B Camshaft Position Timing Performance Bank 2,P,,,,
P05D0,Driver Mode Select Switch A Circuit,P,,,,
P05D1,Driver Mode Select Switch A Circuit Low,P,,,,
P05D2,Driver Mode Select Switch A Circuit High,P,,,,
P05D3,Driver Mode Select Switch A Range/Performance,P,,,,
P05D4,Driver Mode Select Switch B Circuit,P,,,,
P05D5,Driver Mode Select Switch B Circuit Low,P,,,,
P05D6,Driver Mode Select Switch B Circuit High,P,,,,
P05D7,Driver Mode Select Switch B Range/Performance,P,,,,
P05D8,PCV Regulator Valve Control Circuit/Open,P,,,,
P05D9,PCV Regulator Valve Control Circuit Low,P,,,,
P05DA,PCV Regulator Valve Control Circuit High,P,,,,
P05DB,Brake Pedal Position Sensor B Circuit/Open,P,,,,
P05DC,Brake Pedal Position Sensor B Circuit Range/Performance,P,,,,
P05DD,Brake Pedal Position Sensor B Circuit Low,P,,,,
P05DE,Brake Pedal Position Sensor B Circuit High,P,,,,
P05DF,Brake Pedal Position Sensor B Circuit Intermittent/Erratic,P,,,,
P05E0,Brake Pedal Position Sensor A/B Correlation,P,,,,
P05E1,A/C Refrigerant Pressure Sensor A Circuit Intermittent/Erratic,P,,,,
P05E2,A/C Refrigerant Pressure Sensor B Circuit Intermittent/Erratic,P,,,,
P05E3,Park Brake Sensor/Switch Circuit,P,,,,
P05E4,Park Brake Sensor/Switch Circuit Low,P,,,,
P05E5,Park Brake Sensor/Switch Circuit High,P,,,,
P05E6,Park Brake Sensor/Switch Circuit Range/Performance,P,,,,
P05E7,Park Brake Sensor/Switch Circuit Intermittent/Erratic,P,,,,
P05E8,Engine Oil Bypass Valve Control Circuit/Open,P,,,,
P05E9,Engine Oil Bypass Valve Control Circuit Low,P,,,,
P05EA,Engine Oil Bypass Valve Control Circuit High,P,,,,
P05EB,Cold Start SCR NOx Catalyst Inlet Temperature Too Low,P,,,,
P05EC,Cold Start Injection Timing Performance,P,,,,
P05ED,Reductant Heater Control Module Supply Voltage,P,,,,
P05EE,Reductant Pump Supply Voltage Circuit/Open,P,,,,
P05EF,Reductant Pump Supply Voltage Circuit Low,P,,,,
P05F0,Reductant Pump Supply Voltage Circuit High,P,,,,
P05F1,Reductant Pump Supply Voltage Circuit Stuck On,P,,,,
P05F2,Reductant Pump Supply Voltage Circuit Stuck Off,P,,,,
P05F3,Exhaust Aftertreatment Power Relay Control Circuit/Open,P,,,,
P05F4,Exhaust Aftertreatment Power Relay Control Circuit Low,P,,,,
P05F5,Exhaust Aftertreatment Power Relay Control Circuit High,P,,,,
P05F6,Exhaust Aftertreatment Power Relay Control Circuit Stuck On,P,,,,
P05F7,Exhaust Aftertreatment Power Relay Control Circuit Stuck Off,P,,,,
P05F8,Reductant Heater Control Module Performance,P,,,,
P05F9,Stop-Start Status Signal Circuit,P,,,,
P05FA,Stop-Start Status Signal Circuit Low,P,,,,
P05FB,Stop-Start Status Signal Circuit High,P,,,,
P05FC,Cold Start Fuel Pressure Performance Bank 2,P,,,,
P05FD,Turbocharger/Supercharger Boost Control A Temperature Too High,P,,,,
P05FE,Active Grille Air Shutter C Performance/Stuck Off,P,,,,
P05FF,Brake Pressure Sensor / Brake Pedal Position Sensor Correlation,P,,,,
P0600,Serial Communication Link,P,,,,
P0601,Internal Control Module Memory Checksum Error,P,,,,
P0602,Control Module Programming Error,P,,,,
P0603,Internal Control Module Keep Alive Memory (KAM) Error,P,,,,
P0604,Internal Control Module Random Access Memory (RAM) Error,P,,,,
P0605,Internal Control Module Read Only Memory (ROM) Error,P,,,,
P0606,Control Module Processor,P,,,,
P0607,Control Module Performance,P,,,,
P0608,Control Module VSS Output A,P,,,,
P0609,Control Module VSS Output B,P,,,,
P060A,Internal Control Module Monitoring Processor Performance,P,,,,
P060B,Internal Control Module A/D Processing Performance,P,,,,
P060C,Internal Control Module Main Processor Performance,P,,,,
P060D,Internal Control Module Accelerator Pedal Position Performance,P,,,,
P060E,Internal Control Module Throttle Position Performance,P,,,,
P060F,Internal Control Module Coolant Temperature Performance,P,,,,
P0610,Control Module Vehicle Options Error,P,,,,
P0611,Fuel Injector Control Module Performance,P,,,,
P0612,Fuel Injector Control Module Relay Control,P,,,,
P0613,TCM Processor,P,,,,
P0614,ECM/TCM Incompatible,P,,,,
P0615,Starter Relay A Circuit,P,,,,
P0616,Starter Relay A Circuit Low,P,,,,
